dup_id,chosen,alternatives
dup:5d5afb9e1d73,"
<SURNAME/>让人想起那时候呢…<pause:30/>
<SURNAME/>我和以前的伙伴，也常受照顾呢。<pause:30/>
<SURNAME/>虽然发生了很多事，但真的很开心哦。","
<SURNAME/>真让人想起那时候啊…<pause:30/>
<SURNAME/>我和以前的伙伴们，也经常受照顾呢。<pause:30/>
<SURNAME/>虽然发生了很多事，但真的很开心。 || 
<SURNAME/>让人想起那时候呢…<pause:30/>
<SURNAME/>我和以前的伙伴们也常受照顾。<pause:30/>
<SURNAME/>虽然发生了很多事，但真的很开心。"
dup:5aa02c7c62d6,"
<SURNAME/>听好了<c12/>，
<SURNAME/>别做会后悔的活法哦。<pause:30/>
<SURNAME/>因为青春啊，只有一次呢…","
<SURNAME/>听好了<c12/>，
<SURNAME/>别做会后悔的生活方式。<pause:30/>
<SURNAME/>青春啊，只有一次呢… || 
<SURNAME/>听好了<c12/>，
<SURNAME/>别做让自己后悔的事。<pause:30/>
<SURNAME/>青春啊，只有一次…"
dup:c43329446972,"
<SURNAME/>还有其他事吗?","
<SURNAME/>还有其他事吗？"
dup:99131b48628c,"
<SURNAME/>神性之物、魔性之物，
<SURNAME/>一切皆为人心的形态之一。<pause:60/>
<SURNAME/>那么，请尽管提问。","
<SURNAME/>神性也好，魔性也罢，
<SURNAME/>都不过是人心的形态之一。<pause:60/>
<SURNAME/>那么，请尽管提问。"
dup:f3cc7ca283bb,"
<SURNAME/>这是召唤Persona所需的卡片。
<SURNAME/>要召唤新Persona，
<SURNAME/>必须收集这些塔罗牌。","
<SURNAME/>这是召唤Persona所需的卡片。
<SURNAME/>要召唤新的Persona，
<SURNAME/>必须收集这种塔罗牌。"
dup:8292c96d442c,"
<SURNAME/>Persona以塔罗的大阿卡那分类。
<SURNAME/>若要召唤属于SUN的Persona，
<SURNAME/>必须使用相同大阿卡那的卡片。","
<SURNAME/>Persona以塔罗的阿尔卡纳分类。
<SURNAME/>想召唤SUN属Persona，
<SURNAME/>必须用同阿尔卡纳的卡。 || 
<SURNAME/>Persona按塔罗的阿尔卡纳分类。
<SURNAME/>若要召唤SUN属性的Persona，
<SURNAME/>必须使用相同阿尔卡纳的卡片。"
dup:f9ba9cc8a83c,"
<SURNAME/>此外，收集的塔罗牌数量，
<SURNAME/>也必须与Persona的等级相符。
<SURNAME/>","
<SURNAME/>且收集的塔罗牌数，
<SURNAME/>也需匹配该Persona的等级
<SURNAME/>才行。 || 
<SURNAME/>同时，所需塔罗牌的数量，
<SURNAME/>也必须与Persona的等级
<SURNAME/>相匹配才行。"
dup:8f4830ebaa50,"
<SURNAME/>是的，Persona等级越高，
<SURNAME/>所需的塔罗牌数量也越多。","
<SURNAME/>是的，Persona的等级越高，
<SURNAME/>所需的塔罗牌数量也会增加呢。 || 
<SURNAME/>是的，等级越高的Persona，
<SURNAME/>所需塔罗牌也越多。"
dup:b140ac030f81,"
<SURNAME/>塔罗牌由恶魔持有。
<SURNAME/>他们所持的卡片，
<SURNAME/>是与恶魔种族相同大阿卡那的塔罗牌。","
<SURNAME/>塔罗牌由恶魔持有。
<SURNAME/>他们持有的卡，
<SURNAME/>是同种族的阿尔卡纳塔罗。 || 
<SURNAME/>塔罗牌由恶魔持有。
<SURNAME/>它们携带的卡片，
<SURNAME/>与其种族同属一个阿尔卡纳。"
dup:ee8ec2db4848,"
<SURNAME/>也就是说，
<SURNAME/>从想召唤的Persona相同种族的恶魔那里，
<SURNAME/>获取塔罗牌即可。","
<SURNAME/>即，
<SURNAME/>从想召唤Persona同种族的恶魔处，
<SURNAME/>获取塔罗牌即可。 || 
<SURNAME/>换言之，
<SURNAME/>只需从与目标Persona同种族的恶魔处，
<SURNAME/>获取塔罗牌即可。"
dup:9cd5362db74a,"
<SURNAME/>不过，只与同一种恶魔交涉可不行。
<SURNAME/>恶魔等级越高，
<SURNAME/>所持的塔罗牌数量也越多。","
<SURNAME/>但仅与同种恶魔交涉可不行。
<SURNAME/>恶魔等级越高，
<SURNAME/>持有的塔罗牌数量也越多。 || 
<SURNAME/>但只交涉同种恶魔不行。
<SURNAME/>等级越高的恶魔，
<SURNAME/>持有塔罗牌也越多。"
dup:faa1002bdc13,"
<SURNAME/>若要召唤高等级Persona，
<SURNAME/>必须与高等级恶魔交涉。
<SURNAME/>那便是高效收集塔罗牌的诀窍。","
<SURNAME/>想召唤高等级Persona，
<SURNAME/>需交涉高等级恶魔。
<SURNAME/>那是高效集牌的诀窍。 || 
<SURNAME/>若想召唤高等级Persona，
<SURNAME/>必须与高等级恶魔交涉。
<SURNAME/>这才是高效集牌的诀窍。"
dup:80c434332a19,"
<SURNAME/>是了，要召唤Persona，
<SURNAME/>您必须达到相应等级。
<SURNAME/>切勿忘记此事…","
<SURNAME/>对了，召唤Persona时，
<SURNAME/>你自身也需达到相应等级。
<SURNAME/>这点请务必牢记… || 
<SURNAME/>对了，召唤Persona还需，
<SURNAME/>你达达相应等级
<SURNAME/>才行。请勿忘记…"
dup:dcbf7e0bf111,"
<SURNAME/>未被降魔的Persona，
<SURNAME/>通常以Persona卡片形式存在。
<SURNAME/>降魔后方能发挥各种能力。","
<SURNAME/>未降魔的Persona，
<SURNAME/>通常以Persona卡形式存在。
<SURNAME/>降魔后才发挥各种能力 || 
<SURNAME/>未降魔的Persona，
<SURNAME/>通常以Persona卡片形态存在。
<SURNAME/>降魔后方能发挥其能力。"
dup:f25ab42cf110,"
<SURNAME/>您最多可持有10张Persona卡片，
<SURNAME/>这包括已降魔的Persona，
<SURNAME/>请务必注意。","
<SURNAME/>Persona卡可持10张，
<SURNAME/>但包括降魔中的Persona，
<SURNAME/>需注意。 || 
<SURNAME/>Persona卡片最多持有10张，
<SURNAME/>这包含已降魔的Persona，
<SURNAME/>请务必留意。"
dup:9526d2cd2793,"
<SURNAME/>顺便一提，新召唤的Persona，
<SURNAME/>我会妥善保管。
<SURNAME/>需要时，请吩咐我。","
<SURNAME/>顺便，新召唤的Persona，
<SURNAME/>由我妥善保管。
<SURNAME/>需要时请吩咐。 || 
<SURNAME/>顺带一提，新召唤的Persona，
<SURNAME/>都由我妥善保管。
<SURNAME/>需要时请随时吩咐。"
dup:b2d9bd38bc3c,"
<SURNAME/>我可保管多达24个Persona。
<SURNAME/>不仅新召唤的Persona，
<SURNAME/>之前持有的也能保管。","
<SURNAME/>我可保管24体Persona。
<SURNAME/>不仅新召唤的，
<SURNAME/>原有Persona也保管。 || 
<SURNAME/>我最多可保管24体Persona。
<SURNAME/>不仅限于新召唤的，
<SURNAME/>既有Persona也可托管。"
dup:1cd158859330,"
<SURNAME/>Persona之力是冒险的基石。
<SURNAME/>请根据需求，
<SURNAME/>随时更换Persona卡片。","
<SURNAME/>Persona的力量是冒险中不可或缺的。
<SURNAME/>请根据需要，
<SURNAME/>更换Persona卡片。"
dup:bae55acc5dd1,"
<SURNAME/>要在战斗中发动Persona，
<SURNAME/>必须将其降魔于自身。
<SURNAME/>仅持卡片是不够的。","
<SURNAME/>要在战斗中发动Persona，
<SURNAME/>必须将其降魔于自身。
<SURNAME/>仅持有卡片是无效的。 || 
<SURNAME/>要在战斗中发动召唤的Persona，
<SURNAME/>需要您自身降魔。
<SURNAME/>仅持有Persona卡片是不够的。"
dup:1b496b943002,"
<SURNAME/>当Persona降魔时，
<SURNAME/>您自身状态也会变化。","
<SURNAME/>Persona降魔后，
<SURNAME/>你自身状态也会变化。 || 
<SURNAME/>当您降魔Persona时，
<SURNAME/>您自身的状态也会发生变化。"
dup:0207377d3ae7,"
<SURNAME/>Persona是您隐藏的一面…
<SURNAME/>您会变化以适应它。
<SURNAME/>您能使用武器，也因于此。","
<SURNAME/>Persona是你隐藏的一面…
<SURNAME/>你将为契合它而改变形态。
<SURNAME/>正因如此，你才能使用武器。 || 
<SURNAME/>Persona是您隐藏的一面…
<SURNAME/>因此它会变化为与之相应的状态。
<SURNAME/>您能使用武器，也是这个原因。"
dup:91e76ed743bc,"
<SURNAME/>一次只能降魔一个Persona。
<SURNAME/>但若有Persona卡片，
<SURNAME/>随时可降魔另一个。","
<SURNAME/>一次仅能降魔一体Persona。
<SURNAME/>但持有卡片时，
<SURNAME/>可随时更换降魔对象。 || 
<SURNAME/>降魔一次只能进行一体。
<SURNAME/>但是，如果有Persona卡片，
<SURNAME/>随时可以降魔其他Persona。"
dup:5e4797303e24,"
<SURNAME/>那时，
<SURNAME/>之前降魔的Persona，
<SURNAME/>会变回卡片状态。","
<SURNAME/>在那种情况下，
<SURNAME/>之前降魔的Persona，
<SURNAME/>会变回卡片状态。 || 
<SURNAME/>届时，
<SURNAME/>原先降魔的Persona，
<SURNAME/>将回归卡片状态。"
dup:48e528188b67,"
<SURNAME/>Persona，
<SURNAME/>类型不同能力各异。
<SURNAME/>不仅有优点，也有缺点。","
<SURNAME/>Persona因种类不同，
<SURNAME/>能力也各异。
<SURNAME/>既有优势亦有缺陷。 || 
<SURNAME/>Persona，
<SURNAME/>根据其种类，拥有的能力不同。
<SURNAME/>不仅有优点，也有缺点。"
dup:b7d5ab884272,"
<SURNAME/>充分理解每个Persona能力，
<SURNAME/>并根据情况灵活运用，
<SURNAME/>是战斗胜利关键。","
<SURNAME/>充分理解各Persona能力，
<SURNAME/>并依战况灵活运用，
<SURNAME/>方为制胜关键。 || 
<SURNAME/>充分理解每个Persona的能力，
<SURNAME/>并根据情况灵活使用，
<SURNAME/>是在战斗中取得胜利的关键。"
dup:a7fdda0b431f,"
<SURNAME/>虽说Persona是人的隐藏面，
<SURNAME/>但接触未知的另一个自己，
<SURNAME/>或许令人惊讶。","
<SURNAME/>Persona虽是人的隐藏面，
<SURNAME/>但直面未曾觉察的另一自我，
<SURNAME/>想必令人惊异吧。 || 
<SURNAME/>虽说Persona是人隐藏的一面，
<SURNAME/>但接触到未曾意识到的另一个自己，
<SURNAME/>想必也会感到惊讶吧。"
dup:daba7b1425a8,"
<SURNAME/>尤其在新召唤的Persona上，
<SURNAME/>此倾向尤为明显。","
<SURNAME/>尤其新召唤的Persona，
<SURNAME/>此倾向更为显著。 || 
<SURNAME/>特别是对新召唤的Persona，
<SURNAME/>这种倾向尤为明显。"
dup:2af8e2e02efd,"
<SURNAME/>因此最初的时候，
<SURNAME/>只能发挥Persona拥有的
<SURNAME/>一部分原本能力吧。","
<SURNAME/>因此初期阶段，
<SURNAME/>只能发挥Persona
<SURNAME/>部分原有能力。 || 
<SURNAME/>因此最初的一段时间，
<SURNAME/>可能只能发挥出Persona原本能力的一部分。"
dup:74cb2276ccb1,"
<SURNAME/>但发动次数越多，
<SURNAME/>逐渐就能熟练运用。
<SURNAME/>能力增，攻击更强力。","
<SURNAME/>但发动次数越多，
<SURNAME/>便越能驾驭它。
<SURNAME/>能力将增强，攻击也更强力。 || 
<SURNAME/>但是，越是发动它，
<SURNAME/>就越能逐渐熟练运用。
<SURNAME/>能力会增加，也能进行更强大的攻击。"
dup:eb30ac615f72,"
<SURNAME/>当然那是，
<SURNAME/>因为能熟练使用Persona的结果，
<SURNAME/>所需的SP没有变化。","
<SURNAME/>当然，这是熟练运用Persona的结果，
<SURNAME/>所需SP
<SURNAME/>并不会减少。 || 
<SURNAME/>当然，那是
<SURNAME/>因为熟练掌握了Persona的结果，
<SURNAME/>所需的SP不会改变。"
dup:e744cec2f9c9,"
<SURNAME/>虽有些许差异，
<SURNAME/>但您自身的熟练度，
<SURNAME/>可视为「Persona的成长」。","
<SURNAME/>虽有些许差异，
<SURNAME/>但将你自身的熟练度，
<SURNAME/>视为「Persona的成长」亦无不可。 || 
<SURNAME/>虽然有些细微差别，
<SURNAME/>但您自身的这种熟练度，
<SURNAME/>也可以视为“Persona的成长”。"
dup:30f9eeb4bfcd,"
<SURNAME/>Persona成长有8个阶段。
<SURNAME/>每阶段，Persona会变化。","
<SURNAME/>Persona的成长有8个阶段。
<SURNAME/>在每个阶段，Persona都会发生变化吧。 || 
<SURNAME/>Persona的成长有8个阶段。
<SURNAME/>每个阶段，Persona都会发生变化。"
dup:1ec591364351,"
<SURNAME/>此外，Persona，
<SURNAME/>也会影响您自身成长。","
<SURNAME/>此外，Persona也会，
<SURNAME/>对您自身的成长产生些许影响。 || 
<SURNAME/>此外，Persona，
<SURNAME/>也会对您自身的成长产生些许影响。"
dup:6612cbfdc580,"
<SURNAME/>影响您能力的部分，
<SURNAME/>取决于降魔的Persona类型。
<SURNAME/>这点也请考虑。","
<SURNAME/>你的能力受影响的方面，
<SURNAME/>取决于所降魔的Persona种类。
<SURNAME/>这一点也请考虑进去吧。 || 
<SURNAME/>它会影响您能力的哪一部分，
<SURNAME/>取决于降魔的Persona种类。
<SURNAME/>这一点也请考虑。"
dup:cc72a86ccb98,"
<SURNAME/>最后…当将Persona归还无意识之海，
<SURNAME/>建议成长至第8阶段。
<SURNAME/>定有好事发生…","
<SURNAME/>最后…当将Persona归还至无意识之海时，
<SURNAME/>建议先将其培养至第8阶段。
<SURNAME/>肯定会有好事的… || 
<SURNAME/>最后…当将Persona归还至无意识之海时，
<SURNAME/>我推荐将其培养至第8阶段。
<SURNAME/>一定会有好事发生…"
dup:7f24ca8ffb13,"
<SURNAME/>Persona是您的半身…
<SURNAME/>所有Persona都与您相连…","
<SURNAME/>Persona是你的半身…
<SURNAME/>所有Persona都与你相连…"
dup:71a4fec8ca8b,"
<SURNAME/>然而，有的与您亲近，
<SURNAME/>有的则疏远。","
<SURNAME/>话虽如此，既有与你亲近的存在，
<SURNAME/>也有疏远的存在吧。 || 
<SURNAME/>话虽如此，既有与您亲近者，
<SURNAME/>也有疏远者吧。"
dup:0ba4a64bd4fe,"
<SURNAME/>若联系稀薄，
<SURNAME/>您可能无法驾驭。
<SURNAME/>是的，有些无法降魔。","
<SURNAME/>对于连接稀薄的Persona，
<SURNAME/>你可能无法驾驭。
<SURNAME/>是的，其中有些甚至无法降魔。 || 
<SURNAME/>若连接稀薄，
<SURNAME/>您可能无法驾驭。
<SURNAME/>是的，有些甚至无法降魔。"
dup:55ed7ad063b4,"
<SURNAME/>反之若亲近，
<SURNAME/>则可能轻松驾驭。
<SURNAME/>此影响尤现于SP消耗。","
<SURNAME/>反之，若关系亲近，
<SURNAME/>有时能轻松驾驭。
<SURNAME/>这些影响尤其体现在SP消耗上。 || 
<SURNAME/>反之，若是亲近的存在，
<SURNAME/>有时能轻松驾驭。
<SURNAME/>这些影响尤其体现在SP消耗上。"
dup:349d47181c68,"
<SURNAME/>有时SP消耗少于正常，
<SURNAME/>有时则更多。
<SURNAME/>并非人人条件相同。","
<SURNAME/>有时能以更少SP召唤，
<SURNAME/>有时则消耗更多SP。
<SURNAME/>并非人人条件相同。 || 
<SURNAME/>有时能用比平时更少的SP召唤，
<SURNAME/>有时则消耗更多SP。
<SURNAME/>并非人人条件相同。"
dup:6ea40297da72,"
<SURNAME/>，在获得更多塔罗牌之前，
<SURNAME/>我们暂时告别吧。","
<SURNAME/>那么，在获得更多塔罗牌之前，
<SURNAME/>就此暂别吧。 || 
<SURNAME/>那么，在获得更多塔罗牌之前，
<SURNAME/>暂别了。"
dup:63d1f456433d,"
<SURNAME/>人皆〜♪
<SURNAME/>是不断追寻自己为何物的、永远的流浪者〜♪<pause:30/>
<SURNAME/>那便是人类背负的十字架吧〜♪","
<SURNAME/>人人皆是〜♪
<SURNAME/>不断探求自我为何的永恒流浪者〜♪<pause:30/>
<SURNAME/>那便是人类背负的十字架吧〜♪"
dup:ca239eb7ed7c,"
<SURNAME/>自己为何而生？
<SURNAME/>我尚不知如何询问此事。<pause:30/>
<SURNAME/>因此问你。","
<SURNAME/>己身因何而生？
<SURNAME/>我至今不知如何发问。<pause:30/>
<SURNAME/>故而问你。"
dup:d6d83cf14652,"
<SURNAME/>这样回答的，你是第三百一十二个。<pause:30/>
<SURNAME/>但是，我很羡慕你。
<SURNAME/>你知道询问自己…","
<SURNAME/>如此答者，汝乃第三百一十二人。<pause:30/>
<SURNAME/>然吾心羡汝。
<SURNAME/>汝知质问己身…"
dup:fd80676761f8,"
<SURNAME/>这样回答的，你是第二百七十六个。<pause:30/>
<SURNAME/>是吗，不能告诉我吗。<pause:30/>询问自己并得出答案，
<SURNAME/>那境地是怎样的，我想知道。","
<SURNAME/>这样回答的，你是第276个。<pause:30/>
<SURNAME/>是吗，不能教吗。<pause:30/>自我追问、得出答案，
<SURNAME/>那是一种怎样的境界，我很想知道。"
dup:9701c9c28417,"
<SURNAME/>这样回答的，你是第四十三个。<pause:30/>
<SURNAME/>你也还在旅途中…
<SURNAME/>愿你的旅途多幸。","
<SURNAME/>如此答者，汝乃第四十三人。<pause:30/>
<SURNAME/>汝亦在旅途之中…
<SURNAME/>愿汝道途多福。"
dup:b9fc510290ca,"
<SURNAME/>这样回答的…<pause:30/>你是第一个。<pause:30/>
<SURNAME/>你也和我一样…不知道询问自己吗。
<SURNAME/>你也还没“完成”啊。","
<SURNAME/>如此答者…<pause:30/>汝为首例。<pause:30/>
<SURNAME/>汝亦同吾…不知质问己身么？
<SURNAME/>汝亦尚未「完成」啊。"
dup:bbd287e19fc7,"
<SURNAME/>好，完成了。
<SURNAME/>请好好使用。","
<SURNAME/>好了，完成了。
<SURNAME/>请好好使用它。"
dup:d3b50715b81c,"
<SURNAME/>我通过画来表达自己的心情。
<SURNAME/>不太擅长说话…
<SURNAME/>但和你很合得来。","
<SURNAME/>我以画作诉说心情。
<SURNAME/>虽不擅言辞…
<SURNAME/>但与你似乎很投缘。 || 
<SURNAME/>我，用画作表达自己的心情。
<SURNAME/>不太擅长说话…
<SURNAME/>但和你似乎很投缘。 || 
<SURNAME/>我，用绘画诉说心情。
<SURNAME/>不太擅长说话…
<SURNAME/>但和你似乎很投缘。"
dup:6b44da37457f,"
<SURNAME/>自由塔罗是未绘制任何图案的特殊
<SURNAME/>塔罗牌。","
<SURNAME/>自由塔罗牌是未绘图案的
<SURNAME/>特殊塔罗牌。"
dup:5d54e15b3677,"
<SURNAME/>它能变化成任何塔罗牌，
<SURNAME/>是张神奇的卡片。","
<SURNAME/>它能变化成
<SURNAME/>任何塔罗牌的神奇卡牌。"
dup:e5d59619c706,"
<SURNAME/>我能在自由塔罗上绘画，
<SURNAME/>制作各种塔罗牌。","
<SURNAME/>我可为自由塔罗牌作画，
<SURNAME/>制成各类塔罗牌。"
dup:8d54a274b95e,"
<SURNAME/>得到自由塔罗后，
<SURNAME/>带来我这里就好。","
<SURNAME/>若得到自由塔罗牌，
<SURNAME/>带来我处即可。"
dup:dc53c11249f7,"
<SURNAME/>任何恶魔，
<SURNAME/>都必定持有自由塔罗。","
<SURNAME/>任何恶魔都
<SURNAME/>必定持有自由塔罗牌。"
dup:0fce7903f968,"
<SURNAME/>但普通交涉是得不到的。
<SURNAME/>因为自由塔罗，
<SURNAME/>对恶魔来说也很珍贵。","
<SURNAME/>但普通交涉无法获得。
<SURNAME/>因自由塔罗牌对恶魔而言
<SURNAME/>亦是珍贵之物。"
dup:9a5a38f9ffca,"
<SURNAME/>要获得自由塔罗，
<SURNAME/>必须赢得恶魔的特殊信任。
<SURNAME/>嘛，这点上人类和恶魔都一样。","
<SURNAME/>要获得自由塔罗牌，
<SURNAME/>需赢得恶魔特殊信赖。
<SURNAME/>这点上人魔皆同。"
dup:d3ece3f812d5,"
<SURNAME/>要召唤Persona，
<SURNAME/>只需从同种族的恶魔那里获得塔罗牌，
<SURNAME/>但是，","
<SURNAME/>召唤Persona需从
<SURNAME/>同族恶魔处获得塔罗牌，
<SURNAME/>但…"
dup:a840abc1a216,"
<SURNAME/>麻烦的是，有些种族的Persona
<SURNAME/>不会作为恶魔出现。","
<SURNAME/>麻烦的是，也有种族
<SURNAME/>不作为恶魔出现的Persona。"
dup:49dec2806a31,"
<SURNAME/>要召唤这些特殊种族的Persona，
<SURNAME/>该怎么办？
<SURNAME/>这时自由塔罗就派上用场了。","
<SURNAME/>要召唤这些特殊种族的Persona，
<SURNAME/>该怎么办？
<SURNAME/>这时塔罗牌就派上用场了。"
dup:92a6462e1683,"
<SURNAME/>虽然也能用于补充数量，
<SURNAME/>但请尽量深思熟虑后使用。","
<SURNAME/>它也可以作为卡牌数量的辅助，
<SURNAME/>但请尽量深思熟虑后再使用。"
dup:05fbe998c3e2,"
<SURNAME/>我随时都在这里。
<SURNAME/>有兴趣时再来吧。
<SURNAME/>在这里，时间没有意义。","
<SURNAME/>我随时都在这里。
<SURNAME/>兴致来了就再来吧。
<SURNAME/>在这里，时间没有意义。 || 
<SURNAME/>我随时都在这里。
<SURNAME/>等你有空时再来吧。
<SURNAME/>因为在这里，时间没有意义。"
dup:a6fafb36f1b6,"
<SURNAME/>哦？<pause:15/>
<SURNAME/>似乎有Persona
<SURNAME/>正要蜕变为新形态。","
<SURNAME/>哦呀?<pause:15/>
<SURNAME/>似乎有Persona
<SURNAME/>正欲重生为新姿态呢。"
dup:3468e479c583,"
<SURNAME/>哎呀，忘记说明了…","
<SURNAME/>哎呀，我忘了说明呢…"
