source_file,string_id,jp,current_dup_content,candidate_counts_json,suggested_content,suggestion_reason
dup:script,dup:0044fb405f65,"
<SURNAME/>そう。
<SURNAME/>じゃあ、また噂ガ聞きたくなったら来てよ。
<SURNAME/>僕はここで、ひたすらエンガワ食べてるからさ。",\n<SURNAME/>行吧，\n<SURNAME/>那等你想听传闻的时候再来找我吧。\n<SURNAME/>我就一直坐在这儿吃鱼腩。,"[[""\n<SURNAME/>是啊。\n<SURNAME/>那，想听传闻的时候再来吧。\n<SURNAME/>我就在这儿，一直吃着鱼腩呢。"", 1], [""\n<SURNAME/>嗯。\n<SURNAME/>那，想听八卦了再来吧。\n<SURNAME/>我就一直在这儿吃鱼腩呢。"", 1], [""\n<SURNAME/>行。\n<SURNAME/>想听传闻随时来，\n<SURNAME/>老子就在这儿埋头啃鳕鱼边～"", 1], [""\n<SURNAME/>是啊。\n<SURNAME/>那，想听传闻的时候再来吧。\n<SURNAME/>我会一直在这儿吃鱼腩的。"", 1], [""\n<SURNAME/>行吧，\n<SURNAME/>那等你想听传闻的时候再来找我吧。\n<SURNAME/>我就一直坐在这儿吃鱼腩。"", 1]]",,
dup:script,dup:00c1a11bd23a,"<c1d:11/>調査報告書No.32<c1d:1/>
<SURNAME/>調査対象の素行を2週間に渡り調査した結果、
<SURNAME/>依頼者の危惧する結果は得られなかった。
","<c1d:11/>调查报告No.32<c1d:1/>
<SURNAME/>经两周跟踪调查对象品行，
<SURNAME/>未发现委托人担忧之结果。
","[[""<c1d:11/>调查报告No.32<c1d:1/>\n<SURNAME/>经过两周对调查对象的品行调查，\n<SURNAME/>未发现委托人所担忧的结果。\n"", 1], [""<c1d:11/>调查报告No.32<c1d:1/>\n<SURNAME/>经过两周对调查对象的品行调查，\n<SURNAME/>没有获得委托人担忧的结果。\n"", 1], [""<c1d:11/>调查报告No.32<c1d:1/>\n<SURNAME/>经两周跟踪调查对象品行，\n<SURNAME/>未发现委托人担忧之结果。\n"", 1]]",,
dup:script,dup:01ad6b8f612a,"
<SURNAME/>はい、では…
<SURNAME/>みなさんで1200円になりますガ…","
<SURNAME/>好的，那么…
<SURNAME/>各位一共1200日元…","[[""\n<SURNAME/>好的，那么…\n<SURNAME/>共计1200日元…"", 1], [""\n<SURNAME/>好的，那么…\n<SURNAME/>各位需支付1200日元…"", 1], [""\n<SURNAME/>好的，那么…\n<SURNAME/>各位一共1200日元…"", 1]]",,
dup:script,dup:0207377d3ae7,"
<SURNAME/>ペルソナは貴方の隠れた一面…
<SURNAME/>それに相応しい状態に変化するというわけですな。
<SURNAME/>貴方ガ武器を扱えるのも、そのせいなのです。","
<SURNAME/>Persona是您隐藏的一面…
<SURNAME/>您会变化以适应它。
<SURNAME/>您能使用武器，也因于此。","[[""\n<SURNAME/>Persona是您隐藏的一面…\n<SURNAME/>因此它会变化为与之相应的状态。\n<SURNAME/>您能使用武器，也是这个原因。"", 1], [""\n<SURNAME/>Persona是你隐藏的一面…\n<SURNAME/>你将为契合它而改变形态。\n<SURNAME/>正因如此，你才能使用武器。"", 1], [""\n<SURNAME/>Persona是您隐藏的一面…\n<SURNAME/>您会变化以适应它。\n<SURNAME/>您能使用武器，也因于此。"", 1]]",,
dup:script,dup:04ec6c3afcda,"
<SURNAME/>なんでも夢崎区のトニーの店じゃ、
<SURNAME/>本物の武器を売ってるそうッスよ。
<SURNAME/>品揃えはいいけど下取り価格ガ安いそうッス。",\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>种类齐全，但回收价特别低就是了。,"[[""\n<SURNAME/>听说梦崎区托尼's店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种全但回收价低。"", 1], [""\n<SURNAME/>听说在梦崎区的托尼的店，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说品种齐全但回收价格低呢。"", 1], [""\n<SURNAME/>听说在梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种齐全但回收价低。"", 1], [""\n<SURNAME/>听说梦崎区的托尼店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种多但回收价低哦。"", 1], [""\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>种类齐全，但回收价特别低就是了。"", 1]]",,
dup:script,dup:05cb7d6443e9,"
<SURNAME/>はい、いらっしゃいませ。
<SURNAME/>今日はどのような香りをお求めですか?","
<SURNAME/>您好，欢迎光临。
<SURNAME/>今天您想找什么样的香味呢？","[[""\n<SURNAME/>欢迎光临。\n<SURNAME/>今日想寻何种香气?"", 1], [""\n<SURNAME/>欢迎光临。\n<SURNAME/>今日您需要何种芬芳？"", 1], [""\n<SURNAME/>您好，欢迎光临。\n<SURNAME/>今天您想找什么样的香味呢？"", 1]]",,
dup:script,dup:05fbe998c3e2,"
<SURNAME/>僕はいつでもここにいる。
<SURNAME/>また気ガ向いたら立ち寄るといい。
<SURNAME/>ここでは、時間は意味を成さないからな。","
<SURNAME/>我随时都在这里。
<SURNAME/>有兴趣时再来吧。
<SURNAME/>在这里，时间没有意义。","[[""\n<SURNAME/>我随时都在这里。\n<SURNAME/>等你有空时再来吧。\n<SURNAME/>因为在这里，时间没有意义。"", 1], [""\n<SURNAME/>我随时都在这里。\n<SURNAME/>兴致来了就再来吧。\n<SURNAME/>在这里，时间没有意义。"", 1], [""\n<SURNAME/>我随时都在这里。\n<SURNAME/>有兴趣时再来吧。\n<SURNAME/>在这里，时间没有意义。"", 1]]",,
dup:script,dup:07acf668b3b1,"
<SURNAME/>じゃあ僕のネタ。<c1d:13/>懸賞マガジン<c1d:1/>ってあるよね?
<SURNAME/>なんでも、<c1d:13/>本物の武器や珍品<c1d:1/>ガ当たるらしいんだ。
<SURNAME/><c1d:13/>滅多に当たらないけど凄く珍しい物<c1d:1/>だって噂だよ",\n<SURNAME/>那到我说了。不是有个叫<c1d:13/>悬赏杂志<c1d:1/>的东西吗?\n<SURNAME/>我听说那个能抽中<c1d:13/>真的武器和稀有珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然很难抽中，但是都很稀有<c1d:1/>呢。,"[[""\n<SURNAME/>我说个料：<c1d:13/>悬赏杂志<c1d:1/>知道吧？\n<SURNAME/>据说能抽到<c1d:13/>真武器和珍品<c1d:1/>呢。\n<SURNAME/><c1d:13/>中奖率超低但都是稀罕货<c1d:1/>哦"", 1], [""\n<SURNAME/>那我的消息。<c1d:13/>悬赏杂志<c1d:1/>有吧？\n<SURNAME/>据说能中<c1d:13/>真正的武器和珍品<c1d:1/>呢。\n<SURNAME/><c1d:13/>虽然很少中奖但东西超稀有<c1d:1/>的传闻哦。"", 1], [""\n<SURNAME/>那说我的料。<c1d:13/>悬赏杂志<c1d:1/>知道吧？\n<SURNAME/>听说能抽到<c1d:13/>真家伙和珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然难中但超稀有<c1d:1/>的传闻啦。"", 1], [""\n<SURNAME/>那我的传闻。<c1d:13/>悬赏杂志<c1d:1/>你知道吧？\n<SURNAME/>听说能抽中<c1d:13/>真正的武器和珍品<c1d:1/>哦。\n<SURNAME/>虽然<c1d:13/>很难中奖但都是非常稀有的东西<c1d:1/>的传闻呢。"", 1], [""\n<SURNAME/>那到我说了。不是有个叫<c1d:13/>悬赏杂志<c1d:1/>的东西吗?\n<SURNAME/>我听说那个能抽中<c1d:13/>真的武器和稀有珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然很难抽中，但是都很稀有<c1d:1/>呢。"", 1]]",,
dup:script,dup:0907aa3089a3,"
<SURNAME/>あのアニマムンディで
<SURNAME/>本物の防具ガ買えてしまうんスか?
<SURNAME/>品揃えはいいガ下取り価格ガ安いと聞いたッスガ",\n<SURNAME/>世界之灵那地方\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说种类很齐全，但是回收价很低就是了。,"[[""\n<SURNAME/>那个Anima Mundi\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>商品种类不错但但回收价听说低的说的说"", 1], [""\n<SURNAME/>那个阿尼玛·蒙迪\n<SURNAME/>居然能买到真防具？\n<SURNAME/>听说品种齐全但回收价低。"", 1], [""\n<SURNAME/>那个阿尼玛蒙迪\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说品种齐全但回收价很低。"", 1], [""\n<SURNAME/>世界之灵那地方\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说种类很齐全，但是回收价很低就是了。"", 1]]",,
dup:script,dup:09b8d90f3052,"
<SURNAME/>MUSESはまだ3人目を隠してるんスね。
<SURNAME/>謎に興味を抱くは人の性。<pause:15/>
<SURNAME/>上手い売り込み方をするもんッスよ。",\n<SURNAME/>MUSES还藏着第三个人呢～\n<SURNAME/>对谜题感兴趣是人的天性。<pause:15/>\n<SURNAME/>真是高明的推销方式啊～,"[[""\n<SURNAME/>MUSES还藏着第三个人呢。\n<SURNAME/>对谜团感兴趣是人之常情。<pause:15/>\n<SURNAME/>真是高明的宣传手法啊。"", 1], [""\n<SURNAME/>MUSES还在隐藏第三位成员呢。\n<SURNAME/>对谜题感兴趣是人之常情。<pause:15/>\n<SURNAME/>真是高明的营销手法呢。"", 1], [""\n<SURNAME/>缪斯还在隐瞒第三个人呢。\n<SURNAME/>人对谜题总是充满兴趣。<pause:15/>\n<SURNAME/>这宣传手法真高明啊。"", 1], [""\n<SURNAME/>MUSES还藏着第三个人呢～\n<SURNAME/>对谜题感兴趣是人的天性。<pause:15/>\n<SURNAME/>真是高明的推销方式啊～"", 1]]",,
dup:script,dup:0ba4a64bd4fe,"
<SURNAME/>繋ガりガ希薄なペルソナの場合、
<SURNAME/>貴方には扱えないかもしれません。
<SURNAME/>そう、中には降魔出来ない場合もあるのです。","
<SURNAME/>若联系稀薄，
<SURNAME/>您可能无法驾驭。
<SURNAME/>是的，有些无法降魔。","[[""\n<SURNAME/>若连接稀薄，\n<SURNAME/>您可能无法驾驭。\n<SURNAME/>是的，有些甚至无法降魔。"", 1], [""\n<SURNAME/>对于连接稀薄的Persona，\n<SURNAME/>你可能无法驾驭。\n<SURNAME/>是的，其中有些甚至无法降魔。"", 1], [""\n<SURNAME/>若联系稀薄，\n<SURNAME/>您可能无法驾驭。\n<SURNAME/>是的，有些无法降魔。"", 1]]",,
dup:script,dup:0cbc21691302,"
<SURNAME/>お、俺ぁ、親父だきゃあダメなんだ…<pause:30/>
<SURNAME/>ガキの頃から、あのダミ声でどなられると、
<SURNAME/>身体ガ固まっちまうんだよお〜",\n<SURNAME/>我、我啊，是真怕我老爸…<pause:30/>\n<SURNAME/>从小时候就这样，被他那破嗓子一吼，\n<SURNAME/>整个人身体就僵住了呀〜,"[[""\n<SURNAME/>老、老子啊，对老爸不行啊…<pause:30/>\n<SURNAME/>从小时候起，被那个沙哑的声音一吼，\n<SURNAME/>身体就僵住啦～"", 1], [""\n<SURNAME/>呜、老子就是怕老爸啊…<pause:30/>\n<SURNAME/>从小被他那破锣嗓子一吼，\n<SURNAME/>身体就僵住动不了啊〜"", 1], [""\n<SURNAME/>我、我啊，是真怕我老爸…<pause:30/>\n<SURNAME/>从小时候就这样，被他那破嗓子一吼，\n<SURNAME/>整个人身体就僵住了呀〜"", 1]]",,
dup:script,dup:0d0160329a66,"
<SURNAME/>なんでも夢崎区のトニーの店じゃ、
<SURNAME/>本物の武器を売ってるそうッスよ。
<SURNAME/>値段は安いガ、質ガ良くないそうッス。",\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜，但质量不行就是了。,"[[""\n<SURNAME/>听说梦崎区托尼's店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但质量差。"", 1], [""\n<SURNAME/>听说在梦崎区的托尼的店，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说价格便宜但质量不好呢。"", 1], [""\n<SURNAME/>听说在梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但品质不好。"", 1], [""\n<SURNAME/>听说梦崎区的托尼店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但质量差哦。"", 1], [""\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜，但质量不行就是了。"", 1]]",,
dup:script,dup:0d3083c52906,"
<SURNAME/>へぇ〜<pause:30/>
<SURNAME/>セブンスの時計ガ動くと大変な事ガ起きる?
<SURNAME/>そりゃまた、おおげさだねぇ。",\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的大钟动了会有大事发生?\n<SURNAME/>那也太夸张了吧。,"[[""\n<SURNAME/>诶～<pause:30/>\n<SURNAME/>七姊妹的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。"", 2], [""\n<SURNAME/>诶～<pause:30/>\n<SURNAME/>七姊妹学园的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。"", 1], [""\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姊妹的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。"", 1], [""\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的大钟动了会有大事发生?\n<SURNAME/>那也太夸张了吧。"", 1]]","
<SURNAME/>诶～<pause:30/>
<SURNAME/>七姊妹的钟动了会发生大事？
<SURNAME/>那也太夸张了吧。",position_majority
dup:script,dup:0dc98babc404,"
<SURNAME/>これも噂のせいか?<SURNAME/><pause:15/>噂ガ本当になって、
<SURNAME/>あの校長戻ってきちまったのか?<pause:15/>
<SURNAME/>おいおい…マジかよ…","
<SURNAME/>这也是传闻的错吗？<SURNAME/><pause:15/>传闻成真了，
<SURNAME/>那校长回来了吗？<pause:15/>
<SURNAME/>喂喂…真的假的…","[[""\n<SURNAME/>又是传闻搞的鬼?<SURNAME/><pause:15/>传闻成真，\n<SURNAME/>那校长真回来了?<pause:15/>\n<SURNAME/>喂喂…真的假的…"", 1], [""\n<SURNAME/>这也是传闻的错吗？<SURNAME/><pause:15/>传闻成真了，\n<SURNAME/>那个校长回来了吗？<pause:15/>\n<SURNAME/>喂喂…真的假的…"", 1], [""\n<SURNAME/>这也是传闻的错吗？<SURNAME/><pause:15/>传闻成真了，\n<SURNAME/>那校长回来了吗？<pause:15/>\n<SURNAME/>喂喂…真的假的…"", 1]]",,
dup:script,dup:0fd11b8006c1,"
<SURNAME/>聞きました?<SURNAME/>青華区のクレール・ド・リュンヌで
<SURNAME/>本物の武器を売っているそうッスよ。
<SURNAME/>品質も値段も普通なんだそうッス。",\n<SURNAME/>你听说了吗？<SURNAME/>青华区的月光之清\n<SURNAME/>在卖真武器呢。\n<SURNAME/>不过品质和价格都普普通通就是了。,"[[""\n<SURNAME/>听说了吗?<SURNAME/>在青华区的Claire de Lune，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说品质和价格都普通呢。"", 1], [""\n<SURNAME/>听说了吗？<SURNAME/>青华区的克蕾尔·德·吕讷\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普通。"", 1], [""\n<SURNAME/>听说了吗?<SURNAME/>青华区的克雷尔·德·吕讷\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普通哦。"", 1], [""\n<SURNAME/>你听说了吗？<SURNAME/>青华区的月光之清\n<SURNAME/>在卖真武器呢。\n<SURNAME/>不过品质和价格都普普通通就是了。"", 1]]",,
dup:script,dup:109c04f6cb33,"
<SURNAME/>不甲斐ない。<pause:30/>
<SURNAME/>仮面党の頭領ガ、敵の情けを受けるのか?
",\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领，竟接受敌人的怜悯吗?\n,"[[""\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领、竟接受敌人的怜悯?\n"", 1], [""\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领，竟接受敌人的怜悯吗?\n"", 1]]",,
dup:script,dup:10fcd6ac4483,"
<SURNAME/>ありガとニャー♥","
<SURNAME/>多谢惠顾喵~♥","[[""\n<SURNAME/>谢谢喵～♥"", 3], [""\n<SURNAME/>谢谢喵♥"", 2], [""\n<SURNAME/>多谢惠顾喵~♥"", 1]]","
<SURNAME/>谢谢喵～♥",position_majority
dup:script,dup:138a5d3c20d5,"
<SURNAME/>第二次世界大戦を引き起こした張本人、
<SURNAME/>今世紀最大最悪の独裁者!!<pause:30/>
<SURNAME/>それくらいは知ってるわよね?
","
<SURNAME/>引发第二次世界大战的罪魁祸首，
<SURNAME/>本世纪最大最坏的独裁者!!<pause:30/>
<SURNAME/>这点事你应该知道吧?
","[[""\n<SURNAME/>引发第二次世界大战的罪魁祸首，\n<SURNAME/>本世纪最大最坏的独裁者！！<pause:30/>\n<SURNAME/>这个你总该知道吧？\n"", 1], [""\n<SURNAME/>引发第二次世界大战的罪魁祸首，\n<SURNAME/>本世纪最大最恶的独裁者!!<pause:30/>\n<SURNAME/>这点你应该知道吧?\n"", 1], [""\n<SURNAME/>引发第二次世界大战的罪魁祸首，\n<SURNAME/>本世纪最大最坏的独裁者!!<pause:30/>\n<SURNAME/>这点事你应该知道吧?\n"", 1]]",,
dup:script,dup:14dff04dde9f,"
<SURNAME/>ラーメンしらいしのオバチャンは、
<SURNAME/>本当にロシアの女スパイだったそうっスね。",\n<SURNAME/>据说白石拉面店的那位大婶，\n<SURNAME/>真的是俄罗斯的女间谍呢～,"[[""\n<SURNAME/>拉面白石的大妈，\n<SURNAME/>听说真的是俄罗斯女间谍呢。"", 1], [""\n<SURNAME/>听说拉面白石的老板娘，\n<SURNAME/>真是俄罗斯女间谍的说呢。"", 1], [""\n<SURNAME/>听说拉面白石的大妈，\n<SURNAME/>真的是俄罗斯女间谍呢。"", 1], [""\n<SURNAME/>据说白石拉面店的那位大婶，\n<SURNAME/>真的是俄罗斯的女间谍呢～"", 1]]",,
dup:script,dup:14f5d39cdab4,"
<SURNAME/>時間城には伝説の武器という物ガあるらしいッスガ
<SURNAME/>あそこの店主、値を吊り上げる為に、
<SURNAME/>そんな物は無いと言い張っているみたいッスよ。",\n<SURNAME/>据说时间城有传说武器卖，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>就硬说没有那种东西。,"[[""\n<SURNAME/>时间城好像有传说武器，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>硬说没有那种东西。"", 1], [""\n<SURNAME/>时间城有传说武器这种东西的说\n<SURNAME/>但那里的店主，为了抬价，\n<SURNAME/>好像坚持说没有那种东西的说哦。"", 1], [""\n<SURNAME/>时间城有传说武器，\n<SURNAME/>但店主为抬价，\n<SURNAME/>硬说没有。"", 1], [""\n<SURNAME/>时间城好像有传说中的武器，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>硬说没有这种东西。"", 1], [""\n<SURNAME/>据说时间城有传说武器卖，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>就硬说没有那种东西。"", 1]]",,
dup:script,dup:18270b879da4,"
<SURNAME/>静寂…<pause:15/>このカードは、そなたガ日々と変わらず
<SURNAME/>平凡な時を過ごす事を意味している。<pause:15/>
<SURNAME/>可も無く不可も無い…しかしそれは大切な事じゃ","
<SURNAME/>静寂…<pause:15/>此牌意指，汝日复一日
<SURNAME/>度平凡时光。<pause:15/>
<SURNAME/>无甚好亦无甚坏…然此乃重要之事","[[""\n<SURNAME/>静寂…<pause:15/>此卡意味着，汝将日复一日\n<SURNAME/>度过平凡的时光。<pause:15/>\n<SURNAME/>无可无不可…但那也是重要的事啊"", 1], [""\n<SURNAME/>静寂…<pause:15/>此卡意味着，尔将如常度过\n<SURNAME/>平凡时光。<pause:15/>\n<SURNAME/>无甚可圈可点…然此乃重要之事"", 1], [""\n<SURNAME/>静寂…<pause:15/>此牌意指，汝日复一日\n<SURNAME/>度平凡时光。<pause:15/>\n<SURNAME/>无甚好亦无甚坏…然此乃重要之事"", 1]]",,
dup:script,dup:19f59f719879,"
<SURNAME/>あれっ?<pause:10/>
<SURNAME/>またハンニャ校長…","
<SURNAME/>啊咧？<pause:10/>
<SURNAME/>又是般若校长…","[[""\n<SURNAME/>咦?<pause:10/>\n<SURNAME/>又是般若校长…"", 1], [""\n<SURNAME/>咦？<pause:10/>\n<SURNAME/>又是般若校长…"", 1], [""\n<SURNAME/>啊咧？<pause:10/>\n<SURNAME/>又是般若校长…"", 1]]",,
dup:script,dup:1a739461e909,"<c1d:11/>轟<SURNAME/>大助の日記<c1d:1/>
<SURNAME/>あの美人の奥方ガ言う様な、
<SURNAME/>浮気の兆候は見られない。
<SURNAME/>大体、あんな気の弱そうな男に浮気などできまい
","<c1d:11/>轰<SURNAME/>大助日记<c1d:1/>
<SURNAME/>未见美艳夫人所述之
<SURNAME/>外遇征兆。
<SURNAME/>那般怯懦男子岂有偷情胆量
","[[""<c1d:11/>轰<SURNAME/>大助的日记<c1d:1/>\n<SURNAME/>没发现那位美人夫人所说的，\n<SURNAME/>外遇的迹象。\n<SURNAME/>大概，那种懦弱的男人也搞不了外遇吧\n"", 1], [""<c1d:11/>轰<SURNAME/>大助的日记<c1d:1/>\n<SURNAME/>没有看到那位美丽夫人所说的，\n<SURNAME/>出轨的迹象。\n<SURNAME/>大概，那种懦弱的男人不可能出轨吧\n"", 1], [""<c1d:11/>轰<SURNAME/>大助日记<c1d:1/>\n<SURNAME/>未见美艳夫人所述之\n<SURNAME/>外遇征兆。\n<SURNAME/>那般怯懦男子岂有偷情胆量\n"", 1]]",,
dup:script,dup:1ca6cebddd2f,"
<SURNAME/>私もこの連続テロの犯人は仮面党だと
<SURNAME/>思っていたッスガ、最近、若い5人組ガ
<SURNAME/>犯人だという噂も聞いたッス。真実はどっち?",\n<SURNAME/>我也以为这场连环恐怖袭击的犯人是假面党，\n<SURNAME/>但是最近又有传闻说犯人是年轻的5人组，\n<SURNAME/>到底哪个是真相啊？,"[[""\n<SURNAME/>我也以为连续恐怖袭击的犯人是假面党，\n<SURNAME/>但最近听说有传闻说是年轻的五人组\n<SURNAME/>是犯人。真相到底是哪个呢?"", 1], [""\n<SURNAME/>我也以为连续恐怖袭击的犯人是假面党，\n<SURNAME/>但最近听说，是五个年轻人干的。\n<SURNAME/>真相到底是哪个?"", 1], [""\n<SURNAME/>我也以为这场连环恐怖袭击的犯人是假面党，\n<SURNAME/>但是最近又有传闻说犯人是年轻的5人组，\n<SURNAME/>到底哪个是真相啊？"", 1]]",,
