source_file,string_id,jp,local_candidates_json,latest_pr_content,latest_pr_created_at,latest_pr_id,database_content,database_updated_at,selected_content
dup:field,dup:a5ec4e739fc3,星占いをする\n,"[""占星\\n"", ""星座占卜\n""]",星座占卜\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:b5d9a1e8a384,<c5:0/><c1e:0/><c1d:11/>三人の関係<c1d:9/>\n 女三人、信頼しなガらも競い合う、微妙な女心?<c1d:1/>\n<c6/>\n,"[""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人互相信任又相互竞争的微妙女性心理？<c1d:1/>\n<c6/>\n"", ""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\\n 三女信任又竞争的女心？<c1d:1/>\\n<c6/>\\n""]",<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人互相信任又相互竞争的微妙女性心理？<c1d:1/>\n<c6/>\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:script,dup:0044fb405f65,"
<SURNAME/>そう。
<SURNAME/>じゃあ、また噂ガ聞きたくなったら来てよ。
<SURNAME/>僕はここで、ひたすらエンガワ食べてるからさ。","[""\n<SURNAME/>嗯。\n<SURNAME/>那，想听八卦了再来吧。\n<SURNAME/>我就一直在这儿吃鱼腩呢。"", ""\n<SURNAME/>是啊。\n<SURNAME/>那，想听传闻的时候再来吧。\n<SURNAME/>我会一直在这儿吃鱼腩的。"", ""\n<SURNAME/>是啊。\n<SURNAME/>那，想听传闻的时候再来吧。\n<SURNAME/>我就在这儿，一直吃着鱼腩呢。"", ""\n<SURNAME/>行。\n<SURNAME/>想听传闻随时来，\n<SURNAME/>老子就在这儿埋头啃鳕鱼边～"", ""\n<SURNAME/>行吧，\n<SURNAME/>那等你想听传闻的时候再来找我吧。\n<SURNAME/>我就一直坐在这儿吃鱼腩。""]",\n<SURNAME/>行吧，\n<SURNAME/>那等你想听传闻的时候再来找我吧。\n<SURNAME/>我就一直坐在这儿吃鱼腩。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:04ec6c3afcda,"
<SURNAME/>なんでも夢崎区のトニーの店じゃ、
<SURNAME/>本物の武器を売ってるそうッスよ。
<SURNAME/>品揃えはいいけど下取り価格ガ安いそうッス。","[""\n<SURNAME/>听说在梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种齐全但回收价低。"", ""\n<SURNAME/>听说在梦崎区的托尼的店，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说品种齐全但回收价格低呢。"", ""\n<SURNAME/>听说梦崎区托尼's店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种全但回收价低。"", ""\n<SURNAME/>听说梦崎区的托尼店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品种多但回收价低哦。"", ""\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>种类齐全，但回收价特别低就是了。""]",\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>种类齐全，但回收价特别低就是了。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:07acf668b3b1,"
<SURNAME/>じゃあ僕のネタ。<c1d:13/>懸賞マガジン<c1d:1/>ってあるよね?
<SURNAME/>なんでも、<c1d:13/>本物の武器や珍品<c1d:1/>ガ当たるらしいんだ。
<SURNAME/><c1d:13/>滅多に当たらないけど凄く珍しい物<c1d:1/>だって噂だよ","[""\n<SURNAME/>我说个料：<c1d:13/>悬赏杂志<c1d:1/>知道吧？\n<SURNAME/>据说能抽到<c1d:13/>真武器和珍品<c1d:1/>呢。\n<SURNAME/><c1d:13/>中奖率超低但都是稀罕货<c1d:1/>哦"", ""\n<SURNAME/>那到我说了。不是有个叫<c1d:13/>悬赏杂志<c1d:1/>的东西吗?\n<SURNAME/>我听说那个能抽中<c1d:13/>真的武器和稀有珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然很难抽中，但是都很稀有<c1d:1/>呢。"", ""\n<SURNAME/>那我的传闻。<c1d:13/>悬赏杂志<c1d:1/>你知道吧？\n<SURNAME/>听说能抽中<c1d:13/>真正的武器和珍品<c1d:1/>哦。\n<SURNAME/>虽然<c1d:13/>很难中奖但都是非常稀有的东西<c1d:1/>的传闻呢。"", ""\n<SURNAME/>那我的消息。<c1d:13/>悬赏杂志<c1d:1/>有吧？\n<SURNAME/>据说能中<c1d:13/>真正的武器和珍品<c1d:1/>呢。\n<SURNAME/><c1d:13/>虽然很少中奖但东西超稀有<c1d:1/>的传闻哦。"", ""\n<SURNAME/>那说我的料。<c1d:13/>悬赏杂志<c1d:1/>知道吧？\n<SURNAME/>听说能抽到<c1d:13/>真家伙和珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然难中但超稀有<c1d:1/>的传闻啦。""]",\n<SURNAME/>那到我说了。不是有个叫<c1d:13/>悬赏杂志<c1d:1/>的东西吗?\n<SURNAME/>我听说那个能抽中<c1d:13/>真的武器和稀有珍品<c1d:1/>哦。\n<SURNAME/><c1d:13/>虽然很难抽中，但是都很稀有<c1d:1/>呢。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:0907aa3089a3,"
<SURNAME/>あのアニマムンディで
<SURNAME/>本物の防具ガ買えてしまうんスか?
<SURNAME/>品揃えはいいガ下取り価格ガ安いと聞いたッスガ","[""\n<SURNAME/>世界之灵那地方\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说种类很齐全，但是回收价很低就是了。"", ""\n<SURNAME/>那个Anima Mundi\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>商品种类不错但但回收价听说低的说的说"", ""\n<SURNAME/>那个阿尼玛·蒙迪\n<SURNAME/>居然能买到真防具？\n<SURNAME/>听说品种齐全但回收价低。"", ""\n<SURNAME/>那个阿尼玛蒙迪\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说品种齐全但回收价很低。""]",\n<SURNAME/>世界之灵那地方\n<SURNAME/>居然能买到真防具吗？\n<SURNAME/>听说种类很齐全，但是回收价很低就是了。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:09b8d90f3052,"
<SURNAME/>MUSESはまだ3人目を隠してるんスね。
<SURNAME/>謎に興味を抱くは人の性。<pause:15/>
<SURNAME/>上手い売り込み方をするもんッスよ。","[""\n<SURNAME/>MUSES还在隐藏第三位成员呢。\n<SURNAME/>对谜题感兴趣是人之常情。<pause:15/>\n<SURNAME/>真是高明的营销手法呢。"", ""\n<SURNAME/>MUSES还藏着第三个人呢。\n<SURNAME/>对谜团感兴趣是人之常情。<pause:15/>\n<SURNAME/>真是高明的宣传手法啊。"", ""\n<SURNAME/>MUSES还藏着第三个人呢～\n<SURNAME/>对谜题感兴趣是人的天性。<pause:15/>\n<SURNAME/>真是高明的推销方式啊～"", ""\n<SURNAME/>缪斯还在隐瞒第三个人呢。\n<SURNAME/>人对谜题总是充满兴趣。<pause:15/>\n<SURNAME/>这宣传手法真高明啊。""]",\n<SURNAME/>MUSES还藏着第三个人呢～\n<SURNAME/>对谜题感兴趣是人的天性。<pause:15/>\n<SURNAME/>真是高明的推销方式啊～,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:0cbc21691302,"
<SURNAME/>お、俺ぁ、親父だきゃあダメなんだ…<pause:30/>
<SURNAME/>ガキの頃から、あのダミ声でどなられると、
<SURNAME/>身体ガ固まっちまうんだよお〜","[""\n<SURNAME/>呜、老子就是怕老爸啊…<pause:30/>\n<SURNAME/>从小被他那破锣嗓子一吼，\n<SURNAME/>身体就僵住动不了啊〜"", ""\n<SURNAME/>我、我啊，是真怕我老爸…<pause:30/>\n<SURNAME/>从小时候就这样，被他那破嗓子一吼，\n<SURNAME/>整个人身体就僵住了呀〜"", ""\n<SURNAME/>老、老子啊，对老爸不行啊…<pause:30/>\n<SURNAME/>从小时候起，被那个沙哑的声音一吼，\n<SURNAME/>身体就僵住啦～""]",\n<SURNAME/>我、我啊，是真怕我老爸…<pause:30/>\n<SURNAME/>从小时候就这样，被他那破嗓子一吼，\n<SURNAME/>整个人身体就僵住了呀〜,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:0d0160329a66,"
<SURNAME/>なんでも夢崎区のトニーの店じゃ、
<SURNAME/>本物の武器を売ってるそうッスよ。
<SURNAME/>値段は安いガ、質ガ良くないそうッス。","[""\n<SURNAME/>听说在梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但品质不好。"", ""\n<SURNAME/>听说在梦崎区的托尼的店，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说价格便宜但质量不好呢。"", ""\n<SURNAME/>听说梦崎区托尼's店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但质量差。"", ""\n<SURNAME/>听说梦崎区的托尼店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜但质量差哦。"", ""\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜，但质量不行就是了。""]",\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>价格便宜，但质量不行就是了。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:0d3083c52906,"
<SURNAME/>へぇ〜<pause:30/>
<SURNAME/>セブンスの時計ガ動くと大変な事ガ起きる?
<SURNAME/>そりゃまた、おおげさだねぇ。","[""\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姊妹的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。"", ""\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的大钟动了会有大事发生?\n<SURNAME/>那也太夸张了吧。"", ""\n<SURNAME/>诶～<pause:30/>\n<SURNAME/>七姊妹学园的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。"", ""\n<SURNAME/>诶～<pause:30/>\n<SURNAME/>七姊妹的钟动了会发生大事？\n<SURNAME/>那也太夸张了吧。""]",\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的大钟动了会有大事发生?\n<SURNAME/>那也太夸张了吧。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:0fd11b8006c1,"
<SURNAME/>聞きました?<SURNAME/>青華区のクレール・ド・リュンヌで
<SURNAME/>本物の武器を売っているそうッスよ。
<SURNAME/>品質も値段も普通なんだそうッス。","[""\n<SURNAME/>你听说了吗？<SURNAME/>青华区的月光之清\n<SURNAME/>在卖真武器呢。\n<SURNAME/>不过品质和价格都普普通通就是了。"", ""\n<SURNAME/>听说了吗?<SURNAME/>在青华区的Claire de Lune，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说品质和价格都普通呢。"", ""\n<SURNAME/>听说了吗?<SURNAME/>青华区的克雷尔·德·吕讷\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普通哦。"", ""\n<SURNAME/>听说了吗？<SURNAME/>青华区的克蕾尔·德·吕讷\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普通。""]",\n<SURNAME/>你听说了吗？<SURNAME/>青华区的月光之清\n<SURNAME/>在卖真武器呢。\n<SURNAME/>不过品质和价格都普普通通就是了。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:109c04f6cb33,"
<SURNAME/>不甲斐ない。<pause:30/>
<SURNAME/>仮面党の頭領ガ、敵の情けを受けるのか?
","[""\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领、竟接受敌人的怜悯?\n"", ""\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领，竟接受敌人的怜悯吗?\n""]",\n<SURNAME/>真没出息。<pause:30/>\n<SURNAME/>作为假面党的首领、竟接受敌人的怜悯?\n,2026-06-21 14:32:30.2691+00,ed1eb644-81d6-481b-abdf-7a939e503a62,,,
dup:script,dup:14dff04dde9f,"
<SURNAME/>ラーメンしらいしのオバチャンは、
<SURNAME/>本当にロシアの女スパイだったそうっスね。","[""\n<SURNAME/>听说拉面白石的大妈，\n<SURNAME/>真的是俄罗斯女间谍呢。"", ""\n<SURNAME/>听说拉面白石的老板娘，\n<SURNAME/>真是俄罗斯女间谍的说呢。"", ""\n<SURNAME/>拉面白石的大妈，\n<SURNAME/>听说真的是俄罗斯女间谍呢。"", ""\n<SURNAME/>据说白石拉面店的那位大婶，\n<SURNAME/>真的是俄罗斯的女间谍呢～""]",\n<SURNAME/>据说白石拉面店的那位大婶，\n<SURNAME/>真的是俄罗斯的女间谍呢～,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:14f5d39cdab4,"
<SURNAME/>時間城には伝説の武器という物ガあるらしいッスガ
<SURNAME/>あそこの店主、値を吊り上げる為に、
<SURNAME/>そんな物は無いと言い張っているみたいッスよ。","[""\n<SURNAME/>据说时间城有传说武器卖，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>就硬说没有那种东西。"", ""\n<SURNAME/>时间城好像有传说中的武器，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>硬说没有这种东西。"", ""\n<SURNAME/>时间城好像有传说武器，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>硬说没有那种东西。"", ""\n<SURNAME/>时间城有传说武器这种东西的说\n<SURNAME/>但那里的店主，为了抬价，\n<SURNAME/>好像坚持说没有那种东西的说哦。"", ""\n<SURNAME/>时间城有传说武器，\n<SURNAME/>但店主为抬价，\n<SURNAME/>硬说没有。""]",\n<SURNAME/>据说时间城有传说武器卖，\n<SURNAME/>但那里的店主为了抬价，\n<SURNAME/>就硬说没有那种东西。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:1ca6cebddd2f,"
<SURNAME/>私もこの連続テロの犯人は仮面党だと
<SURNAME/>思っていたッスガ、最近、若い5人組ガ
<SURNAME/>犯人だという噂も聞いたッス。真実はどっち?","[""\n<SURNAME/>我也以为这场连环恐怖袭击的犯人是假面党，\n<SURNAME/>但是最近又有传闻说犯人是年轻的5人组，\n<SURNAME/>到底哪个是真相啊？"", ""\n<SURNAME/>我也以为连续恐怖袭击的犯人是假面党，\n<SURNAME/>但最近听说有传闻说是年轻的五人组\n<SURNAME/>是犯人。真相到底是哪个呢?"", ""\n<SURNAME/>我也以为连续恐怖袭击的犯人是假面党，\n<SURNAME/>但最近听说，是五个年轻人干的。\n<SURNAME/>真相到底是哪个?""]",\n<SURNAME/>我也以为这场连环恐怖袭击的犯人是假面党，\n<SURNAME/>但是最近又有传闻说犯人是年轻的5人组，\n<SURNAME/>到底哪个是真相啊？,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:1db1bbb591de,"
<SURNAME/>パパパ、パンツ番長!
<SURNAME/>ううう、後ろ、後ろ後ろお!!
","[""\n<SURNAME/>内、内、内裤番长! \n<SURNAME/>后后后、后面、后面后面啊!!\n"", ""\n<SURNAME/>内、内裤番长！\n<SURNAME/>后后后、后面、后面啊!!\n""]",\n<SURNAME/>胖、胖、胖次番长! \n<SURNAME/>后后后、后面、后面后面啊!!\n,2026-06-27 07:28:31.10981+00,f391071a-8be3-49de-a8e0-abdc3daca7eb,\n<SURNAME/>胖、胖、胖次番长! \n<SURNAME/>后后后、后面、后面后面啊!!\n,2026-06-27 22:02:47.361+00,
dup:script,dup:1e6ffc3c4987,"
<SURNAME/>ちっきしょう!!
<SURNAME/>逃ガしてたまるかよっ!
","[""\n<SURNAME/>可恶!!\n<SURNAME/>别想逃!\n"", ""\n<SURNAME/>可恶!!\n<SURNAME/>怎么能逃跑呢！\n"", ""\n<SURNAME/>可恶!! \n<SURNAME/>别想逃!\n""]",\n<SURNAME/>可恶!! \n<SURNAME/>别想逃!\n,2026-06-25 02:30:17.703888+00,4a8b2b74-e936-46af-be48-fa3894e6f398,,,
dup:script,dup:1f04e392fe12,"
<SURNAME/>ガはは!<SURNAME/>ついに憧れの社長職についたんですわ。
<SURNAME/>仕事なんぞ部下に任せて、こうして昼から寿司を
<SURNAME/>つまんどると、偉くなったのを実感しますなぁ!","[""\n<SURNAME/>哇哈哈!<SURNAME/>我终于当上了梦寐以求的社长啦。\n<SURNAME/>工作什么的都交给部下干就好，然后大白天就像这样\n<SURNAME/>坐在这吃着寿司，真真切切感受到自己出息了呢!"", ""\n<SURNAME/>哈哈!<SURNAME/>终于当上梦寐以求的社长了。\n<SURNAME/>工作都交给手下，像这样大白天就吃着寿司，\n<SURNAME/>真真切切感受到自己出息了啊!"", ""\n<SURNAME/>嘎哈哈!<SURNAME/>终于当上梦寐以求的社长啦。\n<SURNAME/>工作都丢给手下，大白天就吃寿司，\n<SURNAME/>这才感觉出人头地了呢!"", ""\n<SURNAME/>嘎哈哈!<SURNAME/>终于当上梦寐以求的社长啦。\n<SURNAME/>工作都交给手下，像这样大白天就吃寿司，\n<SURNAME/>真真切切感受到自己出息了呢!""]",\n<SURNAME/>哇哈哈!<SURNAME/>我终于当上了梦寐以求的社长啦。\n<SURNAME/>工作什么的都交给部下干就好，然后大白天就像这样\n<SURNAME/>坐在这吃着寿司，真真切切感受到自己出息了呢!,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:203893070973,"
<SURNAME/>スマイル平坂などただの駅ビルッスよ?<pause:15/>
<SURNAME/>犯人はそんな所を爆破して、
<SURNAME/>何をするつもりッスか?","[""\n<SURNAME/>微笑平坂不过是个车站大楼而已?<pause:15/>\n<SURNAME/>犯人炸掉那种地方，\n<SURNAME/>到底想干什么呢?"", ""\n<SURNAME/>微笑平坂不过是个车站大楼而已?<pause:15/>\n<SURNAME/>犯人炸那种地方，\n<SURNAME/>到底想干什么?"", ""\n<SURNAME/>微笑平坂只是个车站大楼而已吧？<pause:15/>\n<SURNAME/>犯人炸掉那种地方，\n<SURNAME/>是打算干什么啊？""]",\n<SURNAME/>微笑平坂只是个车站大楼而已吧？<pause:15/>\n<SURNAME/>犯人炸掉那种地方，\n<SURNAME/>是打算干什么啊？,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:226398954e21,"
<SURNAME/>クレール・ド・リュンヌで伝説の武器を売ってる
<SURNAME/>という噂を耳にしたッス。
<SURNAME/>そんな物ガ実在するんスか?","[""\n<SURNAME/>克雷尔·德·吕讷卖传说武器\n<SURNAME/>的传闻。\n<SURNAME/>真有那东西?"", ""\n<SURNAME/>在Claire de Lune卖传说武器\n<SURNAME/>的传闻听说了的说。\n<SURNAME/>那种东西真的存在吗？"", ""\n<SURNAME/>在月光听到卖传说武器\n<SURNAME/>的传闻呢。\n<SURNAME/>那种东西真的存在吗？"", ""\n<SURNAME/>我听到有传闻说月光之清\n<SURNAME/>有传说武器卖。\n<SURNAME/>但是那种东西真的存在吗?""]",\n<SURNAME/>我听到有传闻说月光之清\n<SURNAME/>有传说武器卖。\n<SURNAME/>但是那种东西真的存在吗?,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:26dd215e64ce,"
<SURNAME/>なになに、セブンスの時計台で…本物の…<pause:15/>
<SURNAME/>幽霊を見た?<SURNAME/>うわぁ僕、怪談ネタは駄目だよお。<pause:15/>
<SURNAME/>もう早々とこっちの情報話して切り上げちゃう。","[""\n<SURNAME/>什么什么，七姐妹的钟楼…真的…<pause:15/>\n<SURNAME/>有幽灵出现?<SURNAME/>哇啊，我，对付不来怪谈题材啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。"", ""\n<SURNAME/>什么什么，在七姊妹学园的钟楼…真…<pause:15/>\n<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>\n<SURNAME/>赶紧说完这边的信息就结束吧。"", ""\n<SURNAME/>什么什么，在七姊妹的钟楼…真…<pause:15/>\n<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。"", ""\n<SURNAME/>什么什么，在七姊妹的钟楼…真的…<pause:15/>\n<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。"", ""\n<SURNAME/>什么什么，在七姊妹的钟楼…真的…<pause:15/>\n<SURNAME/>看到幽灵了？<SURNAME/>哇啊，我，恐怖故事不行啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。""]",\n<SURNAME/>什么什么，七姐妹的钟楼…真的…<pause:15/>\n<SURNAME/>有幽灵出现?<SURNAME/>哇啊，我，对付不来怪谈题材啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
dup:script,dup:2a923e5ec41f,"
<SURNAME/>なんでも夢崎区のトニーの店じゃ、
<SURNAME/>本物の武器を売ってるそうッスよ。
<SURNAME/>品質も値段も、まあ普通なのだそうッス。","[""\n<SURNAME/>听说在梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都算普通。"", ""\n<SURNAME/>听说在梦崎区的托尼的店，\n<SURNAME/>有卖真正的武器呢。\n<SURNAME/>据说品质和价格都还算普通呢。"", ""\n<SURNAME/>听说梦崎区托尼's店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质价格都算普通。"", ""\n<SURNAME/>听说梦崎区的托尼店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都还行哦。"", ""\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普普通通就是了。""]",\n<SURNAME/>听说梦崎区的托尼的店\n<SURNAME/>在卖真武器呢。\n<SURNAME/>品质和价格都普普通通就是了。,2026-06-20 14:25:11.914441+00,0be72aff-33b7-40c4-82ca-dd439af37e70,,,
