classification,source_file,string_id,local_path,jp,local_content,candidate_contents_json,merged_contents_json
local_conflict_review,field:1071,field:1071:0x38c,frontend/public/games/p2is/groups/field_1071.json,ゆきの「撮り殺す」用セリフ\n,黛 雪乃「拍照杀死」用台词\n,"[""雪乃抓拍丑态的台词\\n""]","[""雪乃抓拍丑态的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x3ca,frontend/public/games/p2is/groups/field_1071.json,「Lov' in you」用セリフ\n,「Lov' in you」用台词\n,"[""「Lovin' in you」台词\\n""]","[""「Lovin' in you」台词\\n""]"
local_conflict_review,field:1071,field:1071:0x46a,frontend/public/games/p2is/groups/field_1071.json,「ボケの花」用セリフ\n,「呆子之花」用台词\n,"[""「装傻」用台词\\n""]","[""「装傻」用台词\\n""]"
local_conflict_review,field:1071,field:1071:0x4b6,frontend/public/games/p2is/groups/field_1071.json,「撃写Me!」用セリフ\n,「击写Me!」用台词\n,"[""「特写Me!」用台词\\n""]","[""「特写Me!」用台词\\n""]"
local_conflict_review,field:1071,field:1071:0x5d2,frontend/public/games/p2is/groups/field_1071.json,「ものまね」用「工事現場の音」\n,「模仿」用「工地音效」\n,"[""「模仿」用「工地施工音效」\\n""]","[""「模仿」用「工地施工音效」\\n""]"
local_conflict_review,field:1071,field:1071:0x63e,frontend/public/games/p2is/groups/field_1071.json,「悩殺する」等用「色っぽい曲」\n,「诱惑」等用「性感曲」\n,"[""「诱惑」等用「性感乐曲」\\n""]","[""「诱惑」等用「性感乐曲」\\n""]"
local_conflict_review,field:1104,field:1104:0x1034,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 仮面党ごっこで、「お姉ちゃん」ガつけたもの。\n 不死鳥戦隊フェザーマンの、ブルースワンのお面。\n 様々な思い出ガ詰まっている…\n<c6/>\n,<c5:0/><c1e:0/> 假面游戏时、“姐姐”戴的东西。\n 不死鸟战队羽毛人的、蓝色天鹅的面具。\n 充满了各种回忆…\n<c6/>\n,"[""<c5:0/><c1e:0/> 10年前玩假面党扮演游戏时、「姐姐」戴过的东西。\\n 不死鸟战队翔羽侠里、蓝天鹅的面具。\\n 里面承载着数不清的回忆…\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 10年前玩假面党扮演游戏时、「姐姐」戴过的东西。\\n 不死鸟战队翔羽侠里、蓝天鹅的面具。\\n 里面承载着数不清的回忆…\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x10a,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> <c13/>ガ父からもらった高級腕時計。\n 淳ガ彼の父からもらったジッポーと交換していた。\n 淳も、永遠の友情の証としてずっと持っていた。\n<c6/>\n,<c5:0/><c1e:0/> <c13/>从父亲那里得到的高级手表。\n 淳用他从父亲那里得到的Zippo打火机交换了它。\n 淳也一直持有它，作为永恒友谊的证明。\n<c6/>\n,"[""<c5:0/><c1e:0/> <c13/>从父亲那里得到的名贵手表。\\n 淳用自己从父亲那得到的Zippo打火机换来了它。\\n 淳也一直珍藏它，视作永恒友情的见证。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> <c13/>从父亲那里得到的名贵手表。\\n 淳用自己从父亲那得到的Zippo打火机换来了它。\\n 淳也一直珍藏它，视作永恒友情的见证。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x10c4,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 空の科学館の中で見つけた丈夫なロープ。\n<c6/>\n,<c5:0/><c1e:0/> 在天空科学馆里找到的结实绳子。\n<c6/>\n,"[""<c5:0/><c1e:0/> 在天空科技馆中找到的结实绳索。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 在天空科技馆中找到的结实绳索。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x10fc,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 舞耶の好物。想像ガ現実になったもの。\n<c6/>\n,<c5:0/><c1e:0/> 舞耶的喜好食物。想象变成现实的东西。\n<c6/>\n,"[""<c5:0/><c1e:0/> 舞耶爱吃的东西。想象化为现实的产物。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 舞耶爱吃的东西。想象化为现实的产物。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x1132,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 「花子」と書いてある名札。\n チューリップの形をしている。\n<c6/>\n,<c5:0/><c1e:0/> 写着“花子”的名牌。\n 是郁金香的形状。\n<c6/>\n,"[""<c5:0/><c1e:0/> 写着「花子」的名牌。\\n 外形是郁金香的造型。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 写着「花子」的名牌。\\n 外形是郁金香的造型。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x117e,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 「ブキミ」と書いてある名札。\n 便器の形をしている。\n<c6/>\n,<c5:0/><c1e:0/> 写着“诡异”的名牌。\n 是马桶的形状。\n<c6/>\n,"[""<c5:0/><c1e:0/> 写着「花子」的名牌。\\n 外形是马桶的造型。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 写着「花子」的名牌。\\n 外形是马桶的造型。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x11c4,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> ど派手なブラ。結構大きい…\n<c6/>\n,<c5:0/><c1e:0/> 非常花哨的胸罩。挺大的…\n<c6/>\n,"[""<c5:0/><c1e:0/> 贼花哨的胸罩。尺码还挺大…\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 贼花哨的胸罩。尺码还挺大…\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x11f0,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 裏に血ガべったりついた、巨大なマスク。\n<c6/>\n,<c5:0/><c1e:0/> 背面沾满了血的、巨大的面具。\n<c6/>\n,"[""<c5:0/><c1e:0/> 背面沾满鲜血、巨大的面具。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 背面沾满鲜血、巨大的面具。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x1228,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> ジャンピングじじいの履いていたゲタ。\n<c6/>\n,<c5:0/><c1e:0/> 跳跃老爷爷穿着的木屐。\n<c6/>\n,"[""<c5:0/><c1e:0/> 跳跃老爷爷穿的木屐。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 跳跃老爷爷穿的木屐。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x1284,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 呪いのタクシーガ落とした、運転手の帽子。\n<c6/>\n,<c5:0/><c1e:0/> 诅咒的出租车掉落的司机帽子。\n<c6/>\n,"[""<c5:0/><c1e:0/> 诅咒的出租车掉落的、司机的帽子。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 诅咒的出租车掉落的、司机的帽子。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x12be,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 呪いの個人タクシーガ落とした、運転手の帽子。\n なぜかヨット帽。海ガ好きな運転手だったらしい。\n<c6/>\n,<c5:0/><c1e:0/> 诅咒的私人出租车掉落的司机帽子。\n 不知为何是游艇帽。似乎是喜欢海的司机。\n<c6/>\n,"[""<c5:0/><c1e:0/> 诅咒的私人出租车掉落的、司机的帽子。\\n 不知为何是顶游艇帽。看起来是个喜欢海的司机。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 诅咒的私人出租车掉落的、司机的帽子。\\n 不知为何是顶游艇帽。看起来是个喜欢海的司机。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x132e,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 牛の角ガ生えた人の首。\n<c6/>\n,<c5:0/><c1e:0/> 长了牛角的人的头。\n<c6/>\n,"[""<c5:0/><c1e:0/> 长着牛角的人的头颅。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 长着牛角的人的头颅。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x1356,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 舞耶ガ大事に持ち歩く、手作りらしきマスコット。\n かなり痛んでいるガ、大切なものらしい。\n<c6/>\n,<c5:0/><c1e:0/> 舞耶珍视地携带的、似乎是手工制作的吉祥物。\n 相当破旧，但似乎是重要的东西。\n<c6/>\n,"[""<c5:0/><c1e:0/> 舞耶一直悉心随身携带的、似乎是手工制作的布偶。\\n 已经很破旧，但似乎是无比重要的东西。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 舞耶一直悉心随身携带的、似乎是手工制作的布偶。\\n 已经很破旧，但似乎是无比重要的东西。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x13c0,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 10年前から止まっていた、時計台のカギ。\n もうひとつは、ハンニャ校長ガ持っているらしい。\n<c6/>\n,<c5:0/><c1e:0/> 从10年前就停了的钟楼的钥匙。\n 另一个似乎由般若校长持有。\n<c6/>\n,"[""<c5:0/><c1e:0/> 从10年前就停摆了的钟楼的钥匙。\\n 另一个貌似在般若校长手里。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 从10年前就停摆了的钟楼的钥匙。\\n 另一个貌似在般若校长手里。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x142c,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> コンサートスタッフの、\n 身分を証明するIDカード。\n 関係者入り口から入ることガできる。\n<c6/>\n,<c5:0/><c1e:0/> 演唱会工作人员的、\n 证明身份的ID卡。\n 可以从工作人员入口进入。\n<c6/>\n,"[""<c5:0/><c1e:0/> 可以证明身份是、\\n 演唱会工作人员的ID卡。\\n 可凭此卡从工作人员通道入场。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 可以证明身份是、\\n 演唱会工作人员的ID卡。\\n 可凭此卡从工作人员通道入场。\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x19c,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> 舞耶ガ7つ道具として持ち歩いているライト。\n 雑誌記者たるもの、あらゆる状況に\n 即座に対応できるよう備えるべし。\n\n<c6/>\n,<c5:0/><c1e:0/> 舞耶作为七种工具之一携带的手电筒。\n 作为杂志记者，必须准备好随时应对任何情况。\n\n<c6/>\n,"[""<c5:0/><c1e:0/> 舞耶作为“七道具”之一携带的手电筒。\\n 身为杂志记者，理应做好万全准备随时应对任何突发状况。\\n\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 舞耶作为“七道具”之一携带的手电筒。\\n 身为杂志记者，理应做好万全准备随时应对任何突发状况。\\n\\n<c6/>\\n""]"
local_conflict_review,field:1104,field:1104:0x222,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> ジヨーカーガ所持していた水晶製の髑髏。\n イデアルエナジーを集めるためのオーパーツ。\n イン・ラケチによると、異星人の技術らしい。\n<c6/>\n,<c5:0/><c1e:0/> Joker所持有的水晶髑髏。\n 用于收集理想能量的OOPArt。\n 据In Lak'ech所说，似乎是外星技术。\n<c6/>\n,"[""<c5:0/><c1e:0/> JOKER所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> JOKER所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]"
merged_versions_conflict,field:1104,field:1104:0x2b6,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> プリンス・トーラスガ所持していた水晶製の髑髏。\n イデアルエナジーを集めるためのオーパーツ。\n イン・ラケチによると、異星人の技術らしい。\n<c6/>\n,<c5:0/><c1e:0/> Prince Taurus所持有的水晶髑髏。\n 用于收集理想能量的OOPArt。\n 据In Lak'ech所说，似乎是外星技术。\n<c6/>\n,"[""<c5:0/><c1e:0/> 金牛座王子所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 金牛亲王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 金牛座王子所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 金牛亲王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]"
merged_versions_conflict,field:1104,field:1104:0x352,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> キング・レオガ所持していた水晶製の髑髏。\n イデアルエナジーを集めるためのオーパーツ。\n<c6/>\n,<c5:0/><c1e:0/> King Leo所持有的水晶髑髏。\n 用于收集理想能量的OOPArt。\n<c6/>\n,"[""<c5:0/><c1e:0/> 狮子座国王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 狮子国王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 狮子座国王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 狮子国王所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n<c6/>\\n""]"
merged_versions_conflict,field:1104,field:1104:0x3ba,frontend/public/games/p2is/groups/field_1104.json,<c5:0/><c1e:0/> レイディ・スコルピオンガ持っていた水晶の髑髏。\n イデアルエナジーを集めるためのオーパーツ。\n イン・ラケチによると、異星人の技術らしい。\n<c6/>\n,<c5:0/><c1e:0/> Lady Scorpion所持有的水晶髑髏。\n 用于收集理想能量的OOPArt。\n 据In Lak'ech所说，似乎是外星技术。\n<c6/>\n,"[""<c5:0/><c1e:0/> 天蝎座女士所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 天蝎女士所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]","[""<c5:0/><c1e:0/> 天蝎座女士所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n"", ""<c5:0/><c1e:0/> 天蝎女士所持有的水晶骷髅。\\n 是用于收集理想能量的时代错误遗物(OOPArt)。\\n 据《因·拉凯什》所言，这是外星人的科技产物。\\n<c6/>\\n""]"
